e2e (us), eyelink (us), drawing (us)
8852,1638,621
7628,1585,628
7064,1472,613
8744,1410,623
8744,1433,610
8068,1501,597
5720,1460,603
9304,1473,634
8740,1434,602
8976,1618,585
9084,1562,585
5380,1176,579
8196,1312,588
7524,2158,589
7064,1936,592
7180,2206,592
7844,2428,580
8636,2181,573
8864,1680,569
6736,2250,568
8184,2179,573
7732,2212,613
7172,2242,620
8520,1689,619
8180,1651,629
8192,1825,618
9636,1695,570
6952,1774,576
6504,1487,602
6164,1662,594
8860,1529,584
6292,1361,572
6064,1772,597
9644,1704,590
8192,1664,561
5828,1584,616
7508,1677,624
5836,1476,659
8516,1519,635
7400,1580,594
6844,1522,613
6516,1213,635
7960,2292,632
7172,1381,630
9088,1615,609
6400,1405,634
9080,1451,599
6396,1848,601
8412,1199,594
9972,2193,592
6392,1927,610
8180,2381,626
9304,1746,612
6388,1194,622
9424,1705,633
6064,1854,633
9984,2123,575
5944,1635,604
6724,2059,628
8308,1704,638
9636,1672,638
9412,1613,589
5840,1462,605
8416,1460,630
7396,1650,640
9080,1749,623
9420,1642,618
7300,1698,618
7744,1415,609
8516,1647,609
6168,1575,620
9528,2405,595
8640,1444,597
6172,1680,589
6396,1485,588
7176,2434,624
8084,2168,625
8964,1503,602
6164,1480,595
9304,1436,621
7632,1412,566
8856,1698,627
9640,2066,621
5388,1167,611
9876,2111,608
6732,2371,639
8524,1699,559
8516,2185,604
9308,2120,626
7624,1906,616
5944,1740,609
6168,1625,625
8080,1749,586
6616,1588,629
8636,1701,626
8304,1574,635
8084,1646,615
9536,1651,629
7396,1680,600
6512,1724,586
8752,2151,610
8744,1768,625
8752,1688,646
6060,1666,605
5836,1532,587
5832,1414,629
8752,1514,599
7520,1482,600
8404,1622,640
8964,1451,644
8408,2176,627
8972,1209,623
8084,1483,638
8748,1400,611
10212,2377,611
9192,1655,646
8516,2356,614
9752,1847,615
6176,1912,623
7292,2333,588
8636,1881,631
8296,1940,617
7856,1596,614
8640,1671,608
7960,1483,587
8632,1717,580
6852,1664,573
6288,1635,593
9080,1650,617
5612,1322,595
7408,1770,617
8308,1700,637
8640,1662,655
6052,1745,612
8308,2357,602
5944,1438,615
5720,1291,617
7172,1306,609
6620,1468,637
6060,1283,608
5944,1627,639
6288,1480,597
6836,1669,624
6284,1420,636
7960,1351,637
8752,1494,626
7516,1378,626
9988,2464,617
5496,1344,614
8184,1301,621
5608,1200,639
10100,2212,619
8072,2224,642
6400,1990,626
6288,2015,619
9088,2281,601
9648,2241,591
8864,1910,600
8976,1390,588
9076,1889,594
8516,1614,616
9640,1986,712
6056,1773,614
9308,2321,627
9088,1588,613
